Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Soil_Type
0,-1.8061669080179954,9,1,73814.0,56708,1.5239955840336576,-0.2433863807027122,-0.18544437007347622,0.7682553445145908,2
1,-1.8061669080179954,3,1,6637.0,4685,1.5239955840336576,-0.29903675156388826,-0.2659096811008096,0.7058912159108031,2
8,-1.8061669080179954,3,1,796.0,22,1.5239955840336576,-0.30387551804944324,-0.2729060918025476,0.02763819095477387,2
9,-1.8061669080179954,9,1,19656.0,126905000,1.5239955840336576,-0.2882516290034635,-0.2503153871569768,6456.2983312983315,2
11,-1.8061669080179954,3,1,1739.0,794,1.5239955840336576,-0.3030943235971443,-0.27177655657026906,0.4565842438182864,2
13,-1.8061669080179954,9,1,13587.0,9073,1.5239955840336576,-0.2932792738931799,-0.25758489863597833,0.667770663133878,2
16,-1.8061669080179954,5,1,2979.0,1507,1.5239955840336576,-0.3020670901710035,-0.27029127164129196,0.5058744545149378,2
21,-1.8061669080179954,3,1,94520.0,904095,1.5239955840336576,-0.2262332393142681,-0.16064250738041216,9.565118493440542,2
23,-1.8061669080179954,5,1,10098.0,5158,1.5239955840336576,-0.29616961052528085,-0.26176405921436624,0.5107942166765697,2
24,-1.8061669080179954,3,1,19216.0,14721,1.5239955840336576,-0.28861613118693286,-0.25084242374467836,0.7660803497085762,2
26,-1.8061669080179954,3,1,5915.0,29003,1.5239955840336576,-0.2996348665103993,-0.2667745002288108,4.903296703296704,2
29,-1.8061669080179954,9,1,9914.0,5076,1.5239955840336576,-0.29632203871109525,-0.26198445633285966,0.5120032277587251,2
31,-1.8061669080179954,9,1,7832.0,17943,1.5239955840336576,-0.2980467967701478,-0.26447829764102926,2.290985699693565,2
32,-1.8061669080179954,5,1,108297.0,58272,1.5239955840336576,-0.21482017890141214,-0.1441402731332208,0.5380758469763706,2
37,-1.8061669080179954,9,1,75259.0,671871,1.5239955840336576,-0.24218932239563687,-0.18371353400704726,8.927450537477245,2
39,-1.8061669080179954,5,1,279292.0,154772,1.5239955840336576,-0.07316551785065374,0.06067932076229208,0.5541583718831904,2
40,-1.8061669080179954,1,1,607358.0,398311,1.5239955840336576,0.19860896697216626,0.45364019617341717,0.6558092591190039,2
40,-1.8061669080179954,7,1,174974.0,209623,1.5239955840336576,-0.15958401506690578,-0.06427386731918465,1.1980237063792334,2
40,-1.8061669080179954,11,1,1743321.0,1647296,1.5239955840336576,1.1396566805068065,1.8143085217988943,0.9449183483707246,2
43,-1.8061669080179954,9,1,15765.0,8257,1.5239955840336576,-0.2914749880850069,-0.2549760675268557,0.5237551538217571,2
44,-1.8061669080179954,3,1,10490.0,5391,1.5239955840336576,-0.29584487221637185,-0.2612945175271413,0.5139180171591993,2
46,-1.8061669080179954,3,1,31318.0,1287451,1.5239955840336576,-0.27859066431342033,-0.23634652196203268,41.1089788619963,2
48,-1.8061669080179954,9,1,9380.0,32618,1.5239955840336576,-0.29676441181557844,-0.26262408710066104,3.4773987206823027,2
