Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Soil_Type
0,-1.8031893075835466,4,1,73814.0,56708,1.553601645299742,-0.24328591343288478,-0.18569470652149878,0.796086957,2
1,-1.8031893075835466,1,1,6637.0,4685,1.553601645299742,-0.29845130208490767,-0.26544616370803503,0.710434783,2
8,-1.8031893075835466,1,1,796.0,22,1.553601645299742,-0.3032478996572385,-0.2723805052449682,0.238333333,2
10,-1.8031893075835466,1,1,1739.0,794,1.553601645299742,-0.3024735131633662,-0.2712609907663981,0.420909091,2
12,-1.8031893075835466,4,1,13587.0,9073,1.553601645299742,-0.2927439997175564,-0.25719523515441656,0.643636364,2
15,-1.8031893075835466,2,1,2979.0,1507,1.553601645299742,-0.30145523187768053,-0.2697888826503568,0.465454545,2
20,-1.8031893075835466,1,1,94520.0,904095,1.553601645299742,-0.22628225835110402,-0.16111287535153854,9.919565217,2
22,-1.8031893075835466,2,1,10098.0,5158,1.553601645299742,-0.2956091476254253,-0.2613373200067295,0.461363636,2
23,-1.8031893075835466,1,1,19216.0,14721,1.553601645299742,-0.2881214953972944,-0.2505125766179679,0.615652174,2
25,-1.8031893075835466,1,1,5915.0,29003,1.553601645299742,-0.29904420457544406,-0.2663033105304397,4.568947368,2
28,-1.8031893075835466,4,1,9914.0,5076,1.553601645299742,-0.2957602474291076,-0.2615557618562066,0.482352941,2
30,-1.8031893075835466,4,1,7832.0,17943,1.553601645299742,-0.29746997455555735,-0.26402747887039846,2.342608696,2
31,-1.8031893075835466,2,1,108297.0,58272,1.553601645299742,-0.2149686605503847,-0.1447570418719412,0.520869565,2
36,-1.8031893075835466,4,1,75259.0,671871,1.553601645299742,-0.24209928725722682,-0.18397922569272485,7.561304348,2
38,-1.8031893075835466,2,1,279292.0,154772,1.553601645299742,-0.07454849244891158,0.058245480146186586,0.554782609,2
39,-1.8031893075835466,0,1,607358.0,398311,1.553601645299742,0.1948575303492865,0.44772017466005604,0.780869565,2
39,-1.8031893075835466,3,1,174974.0,209623,1.553601645299742,-0.160213869190977,-0.06559917666767962,1.060434783,2
39,-1.8031893075835466,5,1,1743321.0,1647296,1.553601645299742,1.1277041952302345,1.7963172325815067,0.941304348,2
42,-1.8031893075835466,4,1,15765.0,8257,1.553601645299742,-0.2909554379109246,-0.25460954847962797,0.487391304,2
43,-1.8031893075835466,1,1,10490.0,5391,1.553601645299742,-0.295287239348015,-0.26087194389262613,0.473,2
45,-1.8031893075835466,1,1,31318.0,1287451,1.553601645299742,-0.27818339852683605,-0.23614527627899085,41.89695652,2
47,-1.8031893075835466,4,1,9380.0,32618,1.553601645299742,-0.2961987653376207,-0.26218971809327596,3.440434783,2
48,-1.8031893075835466,4,1,2465.0,11728,1.553601645299742,-0.30187732589448896,-0.2703990952081352,4.41826087,2
49,-1.8031893075835466,4,1,433.0,26,1.553601645299742,-0.30354599329167714,-0.27281145302409965,0.38,2
50,-1.8031893075835466,4,1,10071.0,6974,1.553601645299742,-0.2956313198792265,-0.26136937397377236,0.67,2
52,-1.8031893075835466,2,1,84698.0,110054,1.553601645299742,-0.23434803156723702,-0.1727733962513429,1.25952381,2
0,-1.8031893075835466,4,7,93100.0,133342,0.11764235125020783,-0.22744835466213117,-0.16279867658119868,1.293571429,1
1,-1.8031893075835466,1,7,421810.0,98473,0.11764235125020783,0.04248651744895531,0.22744056440584057,0.268235294,1
2,-1.8031893075835466,1,7,301149.0,132056,0.11764235125020783,-0.056599642399530636,0.0841937600593432,0.404545455,1
2,-1.8031893075835466,3,7,820.0,662,0.11764235125020783,-0.30322819098719295,-0.272352012829819,0.81,1
5,-1.8031893075835466,1,7,3825.0,924,0.11764235125020783,-0.30076050125857556,-0.268784525016348,0.4375,1
6,-1.8031893075835466,4,7,21230.0,1214,0.11764235125020783,-0.2864676095026404,-0.24812158811336535,0.058571429,1
9,-1.8031893075835466,4,7,17317.0,2853,0.11764235125020783,-0.28968094391464694,-0.2527670389666472,0.121333333,1
12,-1.8031893075835466,1,7,186579.0,139206,0.11764235125020783,-0.15068390602937815,-0.051821906759083644,1.078333333,1
12,-1.8031893075835466,2,7,4565.0,7895,0.11764235125020783,-0.30015281726550513,-0.2679060088825814,1.869444444,1
13,-1.8031893075835466,4,7,5061.0,3799,0.11764235125020783,-0.29974550475123085,-0.2673171656361649,1.585,1
14,-1.8031893075835466,1,7,3619.0,4745,0.11764235125020783,-0.3009296673431331,-0.26902908491304517,1.262307692,1
16,-1.8031893075835466,1,7,847666.0,525562,0.11764235125020783,0.3921971587368347,0.7330099788129976,0.709411765,1
